intersect,genes
DTE,ENSG00000064933
DTE,ENSG00000107679
DTE,ENSG00000107798
DTE,ENSG00000255154
DTE,ENSG00000165995
DTE,ENSG00000167380
DTE,ENSG00000136108
DTE,ENSG00000171298
DTE,ENSG00000198569
DTE,ENSG00000111877
DTE,ENSG00000180815
DTE,ENSG00000281106
DTE,ENSG00000140395
DTE,ENSG00000099998
DTE,ENSG00000135535
DTE,ENSG00000134574
DTE,ENSG00000176956
DTE,ENSG00000186350
DTE,ENSG00000151718
DTE,ENSG00000078269
DTE,ENSG00000008382
DTE,ENSG00000116171
DTE,ENSG00000157557
DTE,ENSG00000099364
DTE,ENSG00000135905
DTE,ENSG00000136861
DTE,ENSG00000173327
DTE,ENSG00000103024
DTE,ENSG00000114646
DTE,ENSG00000154330
DTE,ENSG00000102547
DTE,ENSG00000180901
DTE,ENSG00000205129
DTE,ENSG00000100350
DTE,ENSG00000108387
DTE,ENSG00000165675
DTE,ENSG00000140939
DTE,ENSG00000165458
DTE,ENSG00000079432
DTE,ENSG00000027075
DTE,ENSG00000020181
DTE,ENSG00000184110
DTE,ENSG00000180537
DTE,ENSG00000100473
DTE,ENSG00000167371
DTE,ENSG00000100351
DTE,ENSG00000125409
DTE,ENSG00000127980
DTE,ENSG00000253304
DTE,ENSG00000139517
DTE,ENSG00000286140
DTE,ENSG00000147509
DTE,ENSG00000088727
DTE,ENSG00000224916
DTE,ENSG00000161921
DTE,ENSG00000251192
DTE,ENSG00000107789
DTE,ENSG00000162599
DTE,ENSG00000090097
DTE,ENSG00000145526
DTE,ENSG00000141013
DTE,ENSG00000099331
DTE,ENSG00000164329
DTE,ENSG00000221882
DTE,ENSG00000081189
DTE,ENSG00000157330
DTE,ENSG00000143156
DTE,ENSG00000120500
DTE,ENSG00000009413
DTE,ENSG00000057294
DTE,ENSG00000108018
DTE,ENSG00000186204
DTE,ENSG00000130511
DTE,ENSG00000133115
DTE,ENSG00000196312
DTE,ENSG00000115649
DTE,ENSG00000137075
DTE,ENSG00000140481
DTE,ENSG00000130940
DTE,ENSG00000137274
DTE,ENSG00000106066
DTE,ENSG00000171295
DTE,ENSG00000167173
DTE,ENSG00000105829
DTE,ENSG00000205356
DTE,ENSG00000196072
DTE,ENSG00000067048
DTE,ENSG00000103569
DTE,ENSG00000174576
DTE,ENSG00000205581
